[1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, -0;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, -0;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  0.8112781, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1;
  1.5, 1;
  1.5, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  2, 1;
  1.5, 1;
  2, 1;
  2, 1;
  1.5, 1]
